number,created_at,html_url,state,fixed_at,dismissed_by,dismissed_at,dismissed_reason,rule_id,rule_severity,security_severity_level,rule_tags,rule_description,rule_name,tool_name,tool_version,most_recent_instance_ref,most_recent_instance_state,most_recent_instance_sha,instances_url
53,2024-12-22T00:39:37Z,https://github.com/mgil-md/juice-shop/security/code-scanning/53,open,,,,,js/hardcoded-credentials,warning,critical,"['external/cwe/cwe-259', 'external/cwe/cwe-321', 'external/cwe/cwe-798', 'security']",Hard-coded credentials,js/hardcoded-credentials,CodeQL,2.20.7,refs/heads/master,open,f24502779a7e7a3a3628931ea48e2436c7458561,https://api.github.com/repos/mgil-md/juice-shop/code-scanning/alerts/53/instances
52,2024-12-22T00:39:37Z,https://github.com/mgil-md/juice-shop/security/code-scanning/52,open,,,,,js/hardcoded-credentials,warning,critical,"['external/cwe/cwe-259', 'external/cwe/cwe-321', 'external/cwe/cwe-798', 'security']",Hard-coded credentials,js/hardcoded-credentials,CodeQL,2.20.7,refs/heads/master,open,f24502779a7e7a3a3628931ea48e2436c7458561,https://api.github.com/repos/mgil-md/juice-shop/code-scanning/alerts/52/instances
51,2024-12-22T00:39:37Z,https://github.com/mgil-md/juice-shop/security/code-scanning/51,open,,,,,js/incomplete-sanitization,warning,high,"['correctness', 'external/cwe/cwe-020', 'external/cwe/cwe-080', 'external/cwe/cwe-116', 'security']",Incomplete string escaping or encoding,js/incomplete-sanitization,CodeQL,2.20.7,refs/heads/master,open,f24502779a7e7a3a3628931ea48e2436c7458561,https://api.github.com/repos/mgil-md/juice-shop/code-scanning/alerts/51/instances
50,2024-12-22T00:39:37Z,https://github.com/mgil-md/juice-shop/security/code-scanning/50,open,,,,,js/incomplete-sanitization,warning,high,"['correctness', 'external/cwe/cwe-020', 'external/cwe/cwe-080', 'external/cwe/cwe-116', 'security']",Incomplete string escaping or encoding,js/incomplete-sanitization,CodeQL,2.20.7,refs/heads/master,open,f24502779a7e7a3a3628931ea48e2436c7458561,https://api.github.com/repos/mgil-md/juice-shop/code-scanning/alerts/50/instances
49,2024-12-22T00:39:37Z,https://github.com/mgil-md/juice-shop/security/code-scanning/49,open,,,,,js/incomplete-sanitization,warning,high,"['correctness', 'external/cwe/cwe-020', 'external/cwe/cwe-080', 'external/cwe/cwe-116', 'security']",Incomplete string escaping or encoding,js/incomplete-sanitization,CodeQL,2.20.7,refs/heads/master,open,f24502779a7e7a3a3628931ea48e2436c7458561,https://api.github.com/repos/mgil-md/juice-shop/code-scanning/alerts/49/instances
48,2024-12-22T00:39:37Z,https://github.com/mgil-md/juice-shop/security/code-scanning/48,open,,,,,js/functionality-from-untrusted-source,warning,medium,"['external/cwe/cwe-830', 'security']",Inclusion of functionality from an untrusted source,js/functionality-from-untrusted-source,CodeQL,2.20.7,refs/heads/master,open,f24502779a7e7a3a3628931ea48e2436c7458561,https://api.github.com/repos/mgil-md/juice-shop/code-scanning/alerts/48/instances
47,2024-12-22T00:39:37Z,https://github.com/mgil-md/juice-shop/security/code-scanning/47,open,,,,,js/functionality-from-untrusted-source,warning,medium,"['external/cwe/cwe-830', 'security']",Inclusion of functionality from an untrusted source,js/functionality-from-untrusted-source,CodeQL,2.20.7,refs/heads/master,open,f24502779a7e7a3a3628931ea48e2436c7458561,https://api.github.com/repos/mgil-md/juice-shop/code-scanning/alerts/47/instances
46,2024-12-22T00:39:37Z,https://github.com/mgil-md/juice-shop/security/code-scanning/46,open,,,,,js/template-object-injection,error,critical,"['external/cwe/cwe-073', 'external/cwe/cwe-094', 'security']",Template Object Injection,js/template-object-injection,CodeQL,2.20.7,refs/heads/master,open,f24502779a7e7a3a3628931ea48e2436c7458561,https://api.github.com/repos/mgil-md/juice-shop/code-scanning/alerts/46/instances
45,2024-12-22T00:39:37Z,https://github.com/mgil-md/juice-shop/security/code-scanning/45,open,,,,,js/template-object-injection,error,critical,"['external/cwe/cwe-073', 'external/cwe/cwe-094', 'security']",Template Object Injection,js/template-object-injection,CodeQL,2.20.7,refs/heads/master,open,f24502779a7e7a3a3628931ea48e2436c7458561,https://api.github.com/repos/mgil-md/juice-shop/code-scanning/alerts/45/instances
44,2024-12-22T00:39:37Z,https://github.com/mgil-md/juice-shop/security/code-scanning/44,open,,,,,js/xss,error,high,"['external/cwe/cwe-079', 'external/cwe/cwe-116', 'security']",Client-side cross-site scripting,js/xss,CodeQL,2.20.7,refs/heads/master,open,f24502779a7e7a3a3628931ea48e2436c7458561,https://api.github.com/repos/mgil-md/juice-shop/code-scanning/alerts/44/instances
